frame,class,width,height,measurement
150,Crystal,798.84326171875,698.32177734375,1061.0390480590172
150,Crystal,694.3915405273438,528.21337890625,872.4614519917171
150,Crystal,64.35923767089844,245.02305603027344,253.33458007148118
151,Crystal,807.21044921875,703.1383972167969,1070.5103058675065
151,Crystal,700.22607421875,532.9188842773438,879.9540284783128
152,Crystal,812.84423828125,696.2991027832031,1070.3028525813238
152,Crystal,701.23779296875,546.916259765625,889.2985086480827
152,Crystal,66.7884521484375,250.386474609375,259.14105041018746
153,Crystal,824.572998046875,708.9813232421875,1087.4627100798698
153,Crystal,708.54296875,552.77099609375,898.6595087615443
153,Crystal,65.61702728271484,249.23614501953125,257.72902485676184
154,Crystal,826.33251953125,720.039794921875,1096.0304462495553
154,Crystal,712.3853149414062,550.441162109375,900.2656884989485
154,Crystal,69.47855377197266,227.4930419921875,237.86625147150252
155,Crystal,829.111328125,721.04248046875,1098.7847164325362
155,Crystal,721.2861938476562,552.0947265625,908.3294339243666
155,Crystal,73.60652923583984,214.7452392578125,227.00977716838912
156,Crystal,730.068115234375,560.672607421875,920.5179116101525
156,Crystal,839.1923828125,729.7581787109375,1112.1109903089828
156,Crystal,76.21165466308594,218.26731872558594,231.19004894273021
157,Crystal,842.8818359375,749.67626953125,1128.0355927237679
157,Crystal,737.0479125976562,565.4598999023438,928.9696033036447
157,Crystal,78.57209014892578,224.61590576171875,237.9619265166767
158,Crystal,748.7269897460938,570.441162109375,941.2731933944265
158,Crystal,852.62548828125,760.2137451171875,1142.3200784070725
158,Crystal,82.1572265625,233.02650451660156,247.08533279753308
159,Crystal,753.4345703125,571.806640625,945.846967540114
159,Crystal,854.06591796875,768.640380859375,1149.0155035174455
159,Crystal,81.28004455566406,236.30906677246094,249.89682007148897
160,Crystal,753.483642578125,568.197265625,943.708499641985
160,Crystal,856.6220703125,769.7586669921875,1151.6639165815968
160,Crystal,83.32605743408203,242.73951721191406,256.6431473150629
